cid,rhealth,raceth,fem,pfem,sprhealth,marstrain,simx,simy,marhappy
406,Good,nh-white,0,0,3,-.75,16.575363,2.0164118,.75
406,Good,nh-white,0,0,3,-1.5,15.76337,3.2659321,1.5
407,Very Good,nh-white,1,1,4,-1.75,20.918673,2.6353886,1.75
407,Very Good,nh-white,1,1,4,-2,20.357208,6.4831123,2
409,Excellent,nh-white,1,1,5,-2,19.315355,2.8745959,2
409,Excellent,nh-white,1,1,5,-1.5,25.007837,6.0780177,1.5
410,Good,nh-white,1,1,3,-1.5,18.409277,2.833221,1.5
410,Good,nh-black,1,1,3,-.75,18.812698,3.1345863,.75
412,Excellent,nh-white,0,0,3,-1.5,22.119028,5.5797367,1.5
412,Good,nh-white,0,0,5,-1,16.941935,1.7256571,1
413,Good,nh-white,1,1,5,-1,15.908884,-1.5356992,1
413,Excellent,nh-white,1,1,3,-1.75,23.100445,5.3271313,1.75
416,Good,nh-white,1,1,3,-1.75,17.741407,2.5612614,1.75
416,Good,nh-white,1,1,3,-1,17.376448,2.4210415,1
417,Fair,nh-white,1,1,4,-1.5,15.799295,1.8047938,1.5
417,Very Good,nh-white,1,1,2,0,19.832277,3.9070554,0
418,Excellent,nh-white,1,0,2,-1.5,22.566727,2.5567994,1.5
418,Fair,nh-white,0,1,5,-.25,13.936259,1.5739124,.25
419,Fair,nh-white,1,0,4,.75,14.546521,.75590074,-.75
419,Very Good,nh-white,0,1,2,-.25,23.01115,4.040463,.25
420,Very Good,nh-white,1,1,5,-1,21.172535,3.2980282,1
420,Excellent,nh-white,1,1,4,-2,21.341957,4.9985528,2
421,Excellent,nh-white,0,0,5,-.5,23.173563,6.4097962,.5
421,Excellent,nh-white,0,0,5,.25,22.964193,3.0776925,-.25
423,Very Good,nh-mixed,1,1,4,-.5,18.991217,.72836262,.5
423,Very Good,nh-white,1,1,4,-1.25,20.955225,4.5242648,1.25
424,Very Good,nh-white,1,1,2,-1.25,22.801386,3.5604348,1.25
424,Fair,nh-white,1,1,4,.25,14.960629,1.222989,-.25
425,Excellent,nh-white,1,1,3,-1.75,22.635998,3.1246495,1.75
425,Good,nh-white,1,1,5,-.75,15.801768,1.9985811,.75
426,Good,nh-white,0,0,4,.25,15.04898,1.4964448,-.25
426,Very Good,nh-white,0,0,3,.5,19.690594,3.8270264,-.5
428,Very Good,nh-white,1,1,1,-.75,18.032726,3.770083,.75
428,Poor,nh-white,1,1,4,-1,10.302745,1.1571808,1
429,Poor,nh-white,1,1,4,-1.5,12.365789,.65084094,1.5
429,Very Good,nh-white,1,1,1,-2,19.172287,5.2776952,2
430,Very Good,nh-white,1,1,4,-2,20.797764,2.0685027,2
430,Very Good,nh-white,1,1,4,-2,21.285463,3.6380455,2
431,Good,hispanic,0,0,4,-1.75,16.630316,6.3687077,1.75
431,Very Good,nh-white,0,0,3,-.5,19.794659,4.3866053,.5
432,Very Good,nh-white,0,0,3,-1.5,20.17275,6.4086127,1.5
432,Good,nh-white,0,0,4,-1.75,17.118553,5.6861186,1.75
